"Ensembl Gene ID","Gene name","Chromosome","Start position","End position","N SNPs","N Param","Z-score","P-value","Bonferroni P-value","Bonferroni significant"
"ENSG00000170099","SERPINA6","14","94770585","94789731","41","7","0.071523","0.47149","1.0","No"
"ENSG00000080815","PSEN1","14","73603126","73690399","121","12","-1.5114","0.93466","1.0","No"
"ENSG00000165861","ZFYVE1","14","73436159","73493920","191","14","-0.58113","0.71942","1.0","No"
"ENSG00000100557","C14orf105","14","57936019","57960585","15","3","-0.14982","0.55954","1.0","No"
"ENSG00000151812","SLC35F4","14","58030640","58448912","1043","52","-0.704","0.75928","1.0","No"
"ENSG00000139971","C14orf37","14","58466453","58764857","364","28","-0.66263","0.74622","1.0","No"
"ENSG00000131966","ACTR10","14","58666798","58701750","28","3","-0.59577","0.72434","1.0","No"
"ENSG00000100567","PSMA3","14","58711549","58738730","19","2","-0.23005","0.59097","1.0","No"
"ENSG00000268466","AL132989.1","14","58754751","58755865","2","1","-0.80591","0.78985","1.0","No"
"ENSG00000032219","ARID4A","14","58765103","58840605","48","3","-0.50114","0.69186","1.0","No"
"ENSG00000196860","TOMM20L","14","58862634","58875419","1","1","-0.07527","0.53","1.0","No"
"ENSG00000100575","TIMM9","14","58875212","58894332","7","1","0.90923","0.18162","1.0","No"
"ENSG00000100578","KIAA0586","14","58894103","59015216","23","5","0.30869","0.37878","1.0","No"
"ENSG00000165617","DACT1","14","59100685","59115039","11","4","0.75478","0.22519","1.0","No"
"ENSG00000100592","DAAM1","14","59655364","59838123","314","19","-0.82251","0.79461","1.0","No"
"ENSG00000181619","GPR135","14","59895740","59932060","55","4","1.1576","0.12351","1.0","No"
"ENSG00000126790","L3HYPDH","14","59927081","59951148","37","4","0.63336","0.26325","1.0","No"
"ENSG00000050130","JKAMP","14","59951161","59972128","54","4","0.47176","0.31855","1.0","No"
"ENSG00000151838","CCDC175","14","59971257","60043549","173","7","0.23677","0.40642","1.0","No"
"ENSG00000139970","RTN1","14","60062694","60337684","312","13","2.1751","0.014812","1.0","No"
"ENSG00000258989","RP11-47I22.4","14","61995846","62124682","162","32","0.66095","0.25432","1.0","No"
"ENSG00000182107","TMEM30B","14","61744088","61748558","2","1","0.66253","0.25381","1.0","No"
"ENSG00000027075","PRKCH","14","61654277","62017694","539","51","-0.90777","0.818","1.0","No"
"ENSG00000139974","SLC38A6","14","61447832","61550451","105","8","0.58026","0.28087","1.0","No"
"ENSG00000126814","TRMT5","14","61438169","61448076","9","2","0.48051","0.31543","1.0","No"
"ENSG00000020426","MNAT1","14","61201460","61436671","230","8","0.051266","0.47956","1.0","No"
"ENSG00000139977","NAA30","14","57857262","57882635","11","2","-0.30815","0.62102","1.0","No"
"ENSG00000100625","SIX4","14","61176246","61191066","12","3","0.26036","0.39729","1.0","No"
"ENSG00000184302","SIX6","14","60975669","60979568","6","2","-0.66306","0.74635","1.0","No"
"ENSG00000179008","C14orf39","14","60863187","60982261","182","6","-0.91429","0.81972","1.0","No"
"ENSG00000100614","PPM1A","14","60712470","60765805","76","5","-1.28","0.89972","1.0","No"
"ENSG00000100612","DHRS7","14","60610838","60636574","57","1","0.41967","0.33736","1.0","No"
"ENSG00000126773","PCNXL4","14","60558629","60635851","144","3","0.11175","0.45551","1.0","No"
"ENSG00000131951","LRRC9","14","60386431","60530277","170","4","0.93126","0.17586","1.0","No"
"ENSG00000126778","SIX1","14","61110133","61124977","6","1","-1.6964","0.95509","1.0","No"
"ENSG00000053770","AP5M1","14","57735627","57756797","16","2","0.44787","0.32712","1.0","No"
"ENSG00000212928","AL391152.1","14","57671888","57673291","4","1","0.9886","0.16143","1.0","No"
"ENSG00000070367","EXOC5","14","57670518","57735726","70","3","0.81298","0.20812","1.0","No"
"ENSG00000100526","CDKN3","14","54863567","54886936","12","3","0.43623","0.33133","1.0","No"
"ENSG00000125378","BMP4","14","54416454","54425479","4","2","-1.3384","0.90962","1.0","No"
"ENSG00000100523","DDHD1","14","53510686","53620000","129","7","0.014959","0.49403","1.0","No"
"ENSG00000073712","FERMT2","14","53323986","53419153","125","11","0.71632","0.2369","1.0","No"
"ENSG00000100522","GNPNAT1","14","53241912","53258386","6","2","2.0942","0.01812","1.0","No"
"ENSG00000198252","STYX","14","53196898","53241716","52","4","1.7798","0.037557","1.0","No"
"ENSG00000100528","CNIH1","14","54893654","54908149","19","3","0.52123","0.3011","1.0","No"
"ENSG00000100519","PSMC6","14","53173890","53195305","13","3","1.7011","0.044466","1.0","No"
"ENSG00000180998","GPR137C","14","53019866","53104431","104","11","-1.9795","0.97612","1.0","No"
"ENSG00000087301","TXNDC16","14","52897308","53019240","102","9","-1.3296","0.90818","1.0","No"
"ENSG00000125384","PTGER2","14","52781023","52795324","6","1","0.018486","0.49263","1.0","No"
"ENSG00000168229","PTGDR","14","52734431","52743442","17","5","-0.79037","0.78534","1.0","No"
"ENSG00000087303","NID2","14","52471521","52535712","129","17","-1.5495","0.93937","1.0","No"
"ENSG00000087302","C14orf166","14","52456193","52471420","13","3","-0.25712","0.60146","1.0","No"
"ENSG00000197930","ERO1L","14","53106634","53162618","71","6","-2.844","0.99777","1.0","No"
"ENSG00000232774","RP11-47I22.3","14","62037258","62125414","110","19","-0.468","0.68011","1.0","No"
"ENSG00000197045","GMFB","14","54941202","54955914","3","1","1.1963","0.11578","1.0","No"
"ENSG00000020577","SAMD4A","14","55033815","55260033","298","61","0.2835","0.3884","1.0","No"
"ENSG00000165588","OTX2","14","57267425","57277197","6","2","1.4392","0.075048","1.0","No"
"ENSG00000259133","RP11-1085N6.3","14","57115683","57197253","161","19","-2.0727","0.9809","1.0","No"
"ENSG00000070269","TMEM260","14","56955072","57117324","274","31","0.47949","0.3158","1.0","No"
"ENSG00000139946","PELI2","14","56584532","56768244","281","10","-1.372","0.91496","1.0","No"
"ENSG00000126777","KTN1","14","56025790","56168244","115","8","-0.48664","0.68674","1.0","No"
"ENSG00000182521","TBPL2","14","55880259","55923444","148","9","0.71818","0.23632","1.0","No"
"ENSG00000100532","CGRRF1","14","54976530","55005567","12","2","0.20735","0.41787","1.0","No"
"ENSG00000126775","ATG14","14","55833110","55878576","111","7","0.013005","0.49481","1.0","No"
"ENSG00000126787","DLGAP5","14","55614830","55658396","91","9","-0.40394","0.65687","1.0","No"
"ENSG00000131981","LGALS3","14","55590828","55612126","43","5","-0.96875","0.83367","1.0","No"
"ENSG00000205323","SARNP","12","56146247","56211540","39","4","0.2281","0.40978","1.0","No"
"ENSG00000180008","SOCS4","14","55493948","55516206","23","2","0.46244","0.32188","1.0","No"
"ENSG00000198554","WDHD1","14","55405668","55493823","74","4","-0.11991","0.54772","1.0","No"
"ENSG00000131979","GCH1","14","55308726","55369570","97","8","-1.109","0.86629","1.0","No"
"ENSG00000178974","FBXO34","14","55738021","55828636","197","9","-0.29688","0.61672","1.0","No"
"ENSG00000100644","HIF1A","14","62162231","62214976","38","6","-1.2447","0.89338","1.0","No"
"ENSG00000023608","SNAPC1","14","62229075","62263146","57","3","0.90774","0.18201","1.0","No"
"ENSG00000139973","SYT16","14","62453803","62568431","171","26","0.6539","0.25659","1.0","No"
"ENSG00000100647","KIAA0247","14","70078313","70181859","76","9","-0.20609","0.58164","1.0","No"
"ENSG00000267909","CCDC177","14","70038216","70040339","1","1","-0.84162","0.8","1.0","No"
"ENSG00000255994","CCDC177","14","70037483","70038032","1","1","-1.2816","0.9","1.0","No"
"ENSG00000175985","PLEKHD1","14","69951409","69995215","29","6","0.14468","0.44248","1.0","No"
"ENSG00000029364","SLC39A9","14","69864732","69929105","83","7","-2.1835","0.9855","1.0","No"
"ENSG00000100632","ERH","14","69846848","69865344","29","5","-1.9921","0.97682","1.0","No"
"ENSG00000100650","SRSF5","14","70193617","70238722","49","5","-0.21758","0.58612","1.0","No"
"ENSG00000100626","GALNT16","14","69725994","69821183","141","24","-0.73853","0.7699","1.0","No"
"ENSG00000139990","DCAF5","14","69517598","69619867","98","7","-0.7195","0.76408","1.0","No"
"ENSG00000072110","ACTN1","14","69340860","69446157","155","22","1.2078","0.11357","1.0","No"
"ENSG00000185650","ZFP36L1","14","69254377","69263190","11","3","1.1277","0.12971","1.0","No"
"ENSG00000182185","RAD51B","14","68286496","69196935","1432","70","-0.081172","0.53235","1.0","No"
"ENSG00000072121","ZFYVE26","14","68194091","68283307","131","12","-0.65319","0.74318","1.0","No"
"ENSG00000139988","RDH12","14","68168603","68201169","70","7","-1.4213","0.92238","1.0","No"
"ENSG00000081177","EXD2","14","69658228","69709075","59","3","-0.60876","0.72866","1.0","No"
"ENSG00000072042","RDH11","14","68143518","68162531","18","4","-0.90493","0.81725","1.0","No"
"ENSG00000100652","SLC10A1","14","70242134","70264006","34","4","-0.010086","0.50402","1.0","No"
"ENSG00000100678","SLC8A3","14","70510934","70655787","334","24","0.28334","0.38846","1.0","No"
"ENSG00000119599","DCAF4","14","73393040","73426411","86","10","-0.9797","0.83638","1.0","No"
"ENSG00000205683","DPF3","14","73086004","73360809","414","38","-0.27675","0.60901","1.0","No"
"ENSG00000257040","AC005477.1","14","72456191","72458326","9","3","0.29322","0.38468","1.0","No"
"ENSG00000182732","RGS6","14","72399156","73030654","1267","71","-0.42175","0.66339","1.0","No"
"ENSG00000197555","SIPA1L1","14","71787166","72207946","264","8","-0.91062","0.81875","1.0","No"
"ENSG00000267901","AC004817.1","14","71683031","71683462","1","1","0.41246","0.34","1.0","No"
"ENSG00000198732","SMOC1","14","70320848","70499083","305","34","-1.0664","0.85687","1.0","No"
"ENSG00000100731","PCNX","14","71374122","71582099","295","10","0.65514","0.25619","1.0","No"
"ENSG00000133985","TTC9","14","71108504","71142077","40","11","-0.14689","0.55839","1.0","No"
"ENSG00000133997","MED6","14","71047974","71067384","65","9","-1.0983","0.86397","1.0","No"
"ENSG00000134007","ADAM20","14","70989075","71001732","29","5","-1.2191","0.8886","1.0","No"
"ENSG00000139985","ADAM21","14","70918874","70926622","33","7","-2.0394","0.97929","1.0","No"
"ENSG00000213463","SYNJ2BP","14","70838148","70883778","112","8","-1.4599","0.92784","1.0","No"
"ENSG00000133983","COX16","14","70791798","70826448","75","8","-0.76322","0.77734","1.0","No"
"ENSG00000006432","MAP3K9","14","71189243","71276251","206","16","-0.65067","0.74237","1.0","No"
"ENSG00000119707","RBM25","14","73525144","73588122","89","13","-1.9682","0.97548","1.0","No"
"ENSG00000258466","RP11-1012A1.4","14","68126537","68157084","43","6","-1.3012","0.9034","1.0","No"
"ENSG00000081181","ARG2","14","68086515","68118437","41","5","-0.42204","0.6635","1.0","No"
"ENSG00000126822","PLEKHG3","14","65170820","65213610","40","5","-1.3153","0.90579","1.0","No"
"ENSG00000165807","PPP1R36","14","65016620","65056098","62","8","0.67307","0.25045","1.0","No"
"ENSG00000126803","HSPA2","14","65002623","65009955","10","1","-0.069113","0.52755","1.0","No"
"ENSG00000126804","ZBTB1","14","64970430","65000408","56","3","1.3494","0.088604","1.0","No"
"ENSG00000179841","AKAP5","14","64932217","64941221","7","2","0.63268","0.26347","1.0","No"
"ENSG00000089775","ZBTB25","14","64915824","64971931","69","3","0.26159","0.39682","1.0","No"
"ENSG00000070182","SPTB","14","65213002","65346601","304","24","0.18567","0.42635","1.0","No"
"ENSG00000100714","MTHFD1","14","64854749","64926722","113","12","0.67837","0.24877","1.0","No"
"ENSG00000054654","SYNE2","14","64319683","64693165","629","29","1.8933","0.029158","1.0","No"
"ENSG00000126821","SGPP1","14","64150932","64194757","33","1","-1.8394","0.96707","1.0","No"
"ENSG00000140006","WDR89","14","64063757","64108579","51","4","-0.28153","0.61085","1.0","No"
"ENSG00000154001","PPP2R5E","14","63838075","64010092","255","11","1.2774","0.10073","1.0","No"
"ENSG00000126785","RHOJ","14","63670832","63759937","123","13","0.45297","0.32529","1.0","No"
"ENSG00000140015","KCNH5","14","63173287","63568755","611","39","0.37729","0.35298","1.0","No"
"ENSG00000140009","ESR2","14","64550950","64804830","328","24","0.22277","0.41186","1.0","No"
"ENSG00000100568","VTI1B","14","68113792","68141548","46","6","-1.4984","0.93298","1.0","No"
"ENSG00000258289","CHURC1","14","65381079","65411309","72","4","1.0554","0.14563","1.0","No"
"ENSG00000257365","FNTB","14","65381203","65529368","159","13","1.0097","0.15632","1.0","No"
"ENSG00000100564","PIGH","14","68048672","68067004","24","4","1.2238","0.11052","1.0","No"
"ENSG00000054690","PLEKHH1","14","68000018","68056329","69","15","1.4608","0.072029","1.0","No"
"ENSG00000198133","TMEM229B","14","67913801","68000456","151","21","-0.54508","0.70715","1.0","No"
"ENSG00000100558","PLEK2","14","67853700","67878917","39","4","-0.66271","0.74624","1.0","No"
"ENSG00000134001","EIF2S1","14","67826714","67853233","43","5","-0.14286","0.5568","1.0","No"
"ENSG00000100554","ATP6V1D","14","67761088","67826982","170","6","-0.61651","0.73122","1.0","No"
"ENSG00000125954","CHURC1-FNTB","14","65381203","65528521","157","13","1.022","0.15339","1.0","No"
"ENSG00000072415","MPP5","14","67707826","67802536","214","6","-1.065","0.85656","1.0","No"
"ENSG00000171723","GPHN","14","66974125","67648520","1420","15","0.1352","0.44623","1.0","No"
"ENSG00000258847","CTD-2014B16.3","14","66424015","66471241","67","12","-0.32284","0.62659","1.0","No"
"ENSG00000033170","FUT8","14","65877310","66210839","569","19","-0.49759","0.69061","1.0","No"
"ENSG00000125952","MAX","14","65472892","65569413","107","9","-1.5612","0.94076","1.0","No"
"ENSG00000139998","RAB15","14","65412532","65439494","30","4","1.4652","0.071436","1.0","No"
"ENSG00000176153","GPX2","14","65405870","65409531","6","1","1.0233","0.15308","1.0","No"
"ENSG00000172717","FAM71D","14","67656110","67695267","77","7","-0.66146","0.74584","1.0","No"
"ENSG00000197249","SERPINA1","14","94843084","94857030","34","9","-0.53376","0.70325","1.0","No"
"ENSG00000186910","SERPINA11","14","94908801","94919127","26","5","1.0404","0.14908","1.0","No"
"ENSG00000170054","SERPINA9","14","94929054","94946026","57","12","1.1898","0.11707","1.0","No"
"ENSG00000051180","RAD51","15","40986972","41024354","56","4","-0.59574","0.72433","1.0","No"
"ENSG00000137824","RMDN3","15","41028082","41048049","21","2","-0.3127","0.62274","1.0","No"
"ENSG00000137880","GCHFR","15","41056218","41059906","1","1","-1.0364","0.85","1.0","No"
"ENSG00000104129","DNAJC17","15","41060067","41099675","29","3","-1.145","0.87389","1.0","No"
"ENSG00000188277","C15orf62","15","41062159","41064643","1","1","-0.84162","0.8","1.0","No"
"ENSG00000166140","ZFYVE19","15","41099284","41106767","20","4","-0.85217","0.80294","1.0","No"
"ENSG00000166143","PPP1R14D","15","41107650","41120907","14","3","-0.6342","0.73703","1.0","No"
"ENSG00000166145","SPINT1","15","41136216","41150405","19","2","-1.6769","0.95321","1.0","No"
"ENSG00000104142","VPS18","15","41186628","41196173","9","1","-0.58531","0.72083","1.0","No"
"ENSG00000128917","DLL4","15","41221538","41231237","3","2","1.8559","0.031732","1.0","No"
"ENSG00000128965","CHAC1","15","41245160","41248710","1","1","-1.2265","0.89","1.0","No"
"ENSG00000128908","INO80","15","41271078","41408552","108","7","-1.2298","0.89062","1.0","No"
"ENSG00000178997","EXD1","15","41474923","41522941","179","9","-0.52479","0.70014","1.0","No"
"ENSG00000187446","CHP1","15","41523037","41574043","79","7","0.004196","0.49833","1.0","No"
"ENSG00000104147","OIP5","15","41601466","41624819","53","5","-2.3896","0.99157","1.0","No"
"ENSG00000137804","NUSAP1","15","41624892","41673248","47","4","-1.4829","0.93095","1.0","No"
"ENSG00000137806","NDUFAF1","15","41679551","41694717","15","3","-0.79222","0.78588","1.0","No"
"ENSG00000188089","PLA2G4E","15","42273780","42343388","257","27","1.5093","0.065611","1.0","No"
"ENSG00000103966","EHD4","15","42190950","42264776","125","16","-0.50025","0.69155","1.0","No"
"ENSG00000137877","SPTBN5","15","42140345","42186275","40","8","-0.084805","0.53379","1.0","No"
"ENSG00000168970","JMJD7-PLA2G4B","15","42120293","42140353","47","5","0.3389","0.36734","1.0","No"
"ENSG00000243708","PLA2G4B","15","42120283","42140345","47","5","0.3389","0.36734","1.0","No"
"ENSG00000243789","JMJD7","15","42120283","42129779","23","3","0.96209","0.168","1.0","No"
"ENSG00000137812","CASC5","15","40886218","40956540","98","6","-1.9407","0.97385","1.0","No"
"ENSG00000268632","AC073657.1","15","42073346","42076229","5","2","0.24824","0.40197","1.0","No"
"ENSG00000174197","MGA","15","41913422","42062141","166","9","-0.12842","0.55109","1.0","No"
"ENSG00000092445","TYRO3","15","41849873","41871536","23","4","0.18382","0.42708","1.0","No"
"ENSG00000103932","RPAP1","15","41809374","41836467","42","5","-0.284","0.6118","1.0","No"
"ENSG00000062524","LTK","15","41795836","41806085","10","3","-1.2813","0.89996","1.0","No"
"ENSG00000137825","ITPKA","15","41785591","41795747","5","1","0.097003","0.46136","1.0","No"
"ENSG00000137815","RTF1","15","41700606","41775761","82","6","-0.99368","0.83981","1.0","No"
"ENSG00000137802","MAPKBP1","15","42066632","42120053","53","6","0.64993","0.25787","1.0","No"
"ENSG00000166133","RPUSD2","15","40861499","40866659","8","3","-1.918","0.97245","1.0","No"
"ENSG00000128891","C15orf57","15","40820882","40857256","82","6","-1.0708","0.85787","1.0","No"
"ENSG00000169105","CHST14","15","40763160","40765353","1","1","-0.80642","0.79","1.0","No"
"ENSG00000175779","C15orf53","15","38988799","38992239","10","3","1.7978","0.036108","1.0","No"
"ENSG00000172575","RASGRP1","15","38780304","38857776","32","9","2.6958","0.0035114","1.0","No"
"ENSG00000171262","FAM98B","15","38746328","38779911","22","4","0.71327","0.23784","1.0","No"
"ENSG00000166068","SPRED1","15","38544527","38649450","266","5","0.030708","0.48775","1.0","No"
"ENSG00000166069","TMCO5A","15","38214140","38259925","25","4","-0.85897","0.80482","1.0","No"
"ENSG00000134138","MEIS2","15","37181406","37393504","161","40","0.39975","0.34467","1.0","No"
"ENSG00000175746","C15orf54","15","39542885","39547046","9","3","-0.79197","0.78581","1.0","No"
"ENSG00000186073","C15orf41","15","36871812","37102449","273","27","-0.43708","0.66897","1.0","No"
"ENSG00000212768","AC114546.1","15","35270552","35272268","1","1","0.07527","0.47","1.0","No"
"ENSG00000198146","ZNF770","15","35270542","35280488","4","2","-0.63485","0.73724","1.0","No"
"ENSG00000021776","AQR","15","35147732","35262040","174","11","-1.3286","0.90801","1.0","No"
"ENSG00000159251","ACTC1","15","35080297","35088340","7","3","0.83211","0.20267","1.0","No"
"ENSG00000159248","GJD2","15","35043233","35047166","2","1","-0.77305","0.78025","1.0","No"
"ENSG00000215252","GOLGA8B","15","34817408","34880704","7","1","-0.51271","0.69592","1.0","No"
"ENSG00000134146","DPH6","15","35509546","35838394","417","17","-0.80042","0.78827","1.0","No"
"ENSG00000159337","PLA2G4D","15","42359207","42386752","83","5","0.12987","0.44833","1.0","No"
"ENSG00000137801","THBS1","15","39873280","39891667","14","3","0.25788","0.39825","1.0","No"
"ENSG00000166073","GPR176","15","40091233","40213093","118","15","-0.53646","0.70418","1.0","No"
"ENSG00000140320","BAHD1","15","40731920","40760441","9","3","-0.85809","0.80458","1.0","No"
"ENSG00000128928","IVD","15","40697686","40728146","60","5","-0.47686","0.68327","1.0","No"
"ENSG00000128944","KNSTRN","15","40674922","40686447","23","4","-0.35292","0.63793","1.0","No"
"ENSG00000140323","DISP2","15","40650436","40663257","13","3","-0.81111","0.79135","1.0","No"
"ENSG00000233041","PHGR1","15","40643234","40648635","7","3","-0.5309","0.70226","1.0","No"
"ENSG00000188549","C15orf52","15","40623653","40633168","5","2","1.3264","0.092355","1.0","No"
"ENSG00000150667","FSIP1","15","39892232","40075031","433","20","-0.24918","0.59839","1.0","No"
"ENSG00000137841","PLCB2","15","40570377","40600136","21","4","2.8762","0.0020126","1.0","No"
"ENSG00000137843","PAK6","15","40509629","40569688","63","17","-0.33812","0.63236","1.0","No"
"ENSG00000259288","RP11-133K1.2","15","40509629","40568597","61","16","-0.66284","0.74628","1.0","No"
"ENSG00000156970","BUB1B","15","40453224","40513337","59","4","-0.94385","0.82738","1.0","No"
"ENSG00000104081","BMF","15","40380091","40401093","15","5","1.2572","0.10433","1.0","No"
"ENSG00000140319","SRP14","15","40327940","40331389","6","2","0.94911","0.17128","1.0","No"
"ENSG00000128829","EIF2AK4","15","40226347","40327797","210","22","1.8327","0.033422","1.0","No"
"ENSG00000176753","C15orf56","15","40542865","40545170","2","1","-0.15544","0.56176","1.0","No"
"ENSG00000168907","PLA2G4F","15","42433332","42448839","27","5","0.49483","0.31036","1.0","No"
"ENSG00000166887","VPS39","15","42450899","42500514","65","4","1.3961","0.08134","1.0","No"
"ENSG00000103978","TMEM87A","15","42502730","42565861","53","4","1.6419","0.050307","1.0","No"
"ENSG00000138606","SHF","15","45459412","45493373","31","3","1.0305","0.15139","1.0","No"
"ENSG00000137857","DUOX1","15","45422131","45457774","52","6","0.88751","0.1874","1.0","No"
"ENSG00000140254","DUOXA1","15","45409569","45422136","15","5","2.1992","0.013933","1.0","No"
"ENSG00000140274","DUOXA2","15","45406519","45410619","6","1","2.4945","0.0063063","1.0","No"
"ENSG00000140279","DUOX2","15","45384848","45406542","20","2","0.51919","0.30182","1.0","No"
"ENSG00000140263","SORD","15","45315302","45369383","21","3","-0.18584","0.57371","1.0","No"
"ENSG00000137860","SLC28A2","15","45544428","45568149","53","1","1.2959","0.097501","1.0","No"
"ENSG00000167014","C15orf43","15","45248900","45271427","56","4","-0.26081","0.60288","1.0","No"
"ENSG00000166710","B2M","15","45003675","45011075","11","3","0.49647","0.30978","1.0","No"
"ENSG00000229474","PATL2","15","44957930","45003514","11","3","-0.17892","0.571","1.0","No"
"ENSG00000104133","SPG11","15","44854894","44955876","83","3","0.15559","0.43818","1.0","No"
"ENSG00000104131","EIF3J","15","44829255","44855227","27","2","-0.14915","0.55928","1.0","No"
"ENSG00000137770","CTDSPL2","15","44719432","44821236","97","3","0.153","0.4392","1.0","No"
"ENSG00000166734","CASC4","15","44580927","44707956","119","2","0.032846","0.4869","1.0","No"
"ENSG00000185880","TRIM69","15","45021186","45060027","110","8","0.65856","0.25509","1.0","No"
"ENSG00000171877","FRMD5","15","44162962","44487450","302","8","0.51456","0.30343","1.0","No"
"ENSG00000171766","GATM","15","45653322","45694525","66","3","0.97262","0.16537","1.0","No"
"ENSG00000166920","C15orf48","15","45722727","45740959","12","3","1.2335","0.1087","1.0","No"
"ENSG00000138593","SECISBP2L","15","49280673","49338760","72","7","-0.38848","0.65117","1.0","No"
"ENSG00000255302","EID1","15","49170083","49172380","1","1","-1.3408","0.91","1.0","No"
"ENSG00000185634","SHC4","15","49115932","49255641","198","28","-0.23724","0.59377","1.0","No"
"ENSG00000103995","CEP152","15","49005125","49103343","110","10","-0.16595","0.5659","1.0","No"
"ENSG00000166147","FBN1","15","48700503","48938046","348","11","1.0189","0.15412","1.0","No"
"ENSG00000128951","DUT","15","48623208","48635570","5","1","1.8427","0.032686","1.0","No"
"ENSG00000171763","SPATA5L1","15","45694529","45713617","16","2","0.28321","0.38851","1.0","No"
"ENSG00000074803","SLC12A1","15","48483861","48596275","85","4","2.2499","0.012227","1.0","No"
"ENSG00000188467","SLC24A5","15","48413169","48434869","3","1","0.57022","0.28426","1.0","No"
"ENSG00000137872","SEMA6D","15","47476298","48066420","927","40","0.33614","0.36838","1.0","No"
"ENSG00000137767","SQRDL","15","45923346","45983492","121","18","-0.071373","0.52845","1.0","No"
"ENSG00000260170","RP11-96O20.4","15","45879549","45968512","115","13","0.28327","0.38849","1.0","No"
"ENSG00000104164","BLOC1S6","15","45879321","45908197","8","2","1.2001","0.11506","1.0","No"
"ENSG00000104154","SLC30A4","15","45771809","45815005","21","2","1.5665","0.058619","1.0","No"
"ENSG00000104177","MYEF2","15","48431625","48470714","3","1","-0.20083","0.57959","1.0","No"
"ENSG00000175265","GOLGA8A","15","34671269","34880704","49","5","1.0239","0.15293","1.0","No"
"ENSG00000092470","WDR76","15","44119161","44160617","42","3","1.1575","0.12354","1.0","No"
"ENSG00000242028","HYPK","15","44088340","44095241","4","1","0.81545","0.20741","1.0","No"
"ENSG00000104055","TGM5","15","43524793","43559055","38","3","0.21086","0.4165","1.0","No"
"ENSG00000166946","CCNDBP1","15","43477316","43487396","5","1","0.045295","0.48194","1.0","No"
"ENSG00000137842","TMEM62","15","43415477","43477344","31","4","-0.39777","0.6546","1.0","No"
"ENSG00000166947","EPB42","15","43398423","43513481","47","4","-0.29968","0.61779","1.0","No"
"ENSG00000159459","UBR1","15","43235095","43398311","119","7","-0.11945","0.54754","1.0","No"
"ENSG00000128881","TTBK2","15","43030932","43213007","140","12","-0.8387","0.79918","1.0","No"
"ENSG00000159495","TGM7","15","43568478","43594453","26","3","0.7546","0.22525","1.0","No"
"ENSG00000140326","CDAN1","15","43015757","43029324","22","2","0.20714","0.41795","1.0","No"
"ENSG00000137814","HAUS2","15","42841008","42862192","24","3","0.41437","0.3393","1.0","No"
"ENSG00000180979","LRRC57","15","42834720","42841000","3","1","0.76542","0.22201","1.0","No"
"ENSG00000092531","SNAP23","15","42783431","42837547","43","3","0.24268","0.40413","1.0","No"
"ENSG00000103994","ZNF106","15","42705021","42783321","95","8","0.047002","0.48126","1.0","No"
"ENSG00000092529","CAPN3","15","42640301","42704516","185","11","0.42048","0.33707","1.0","No"
"ENSG00000214013","GANC","15","42565431","42645864","184","6","1.2014","0.11479","1.0","No"
"ENSG00000159433","STARD9","15","42867857","43013179","127","8","0.42026","0.33715","1.0","No"
"ENSG00000140259","MFAP1","15","44096690","44117000","21","2","1.1137","0.13269","1.0","No"
"ENSG00000168806","LCMT2","15","43619974","43622803","4","2","1.69","0.045516","1.0","No"
"ENSG00000140265","ZSCAN29","15","43650370","43663223","24","3","0.62202","0.26696","1.0","No"
"ENSG00000184716","SERINC4","15","44086360","44092419","3","1","0.58272","0.28004","1.0","No"
"ENSG00000268488","AC018512.1","15","44075041","44075231","2","1","1.1035","0.1349","1.0","No"
"ENSG00000140264","SERF2","15","44069285","44094787","26","3","0.67826","0.2488","1.0","No"
"ENSG00000262560","RP11-296A16.1","15","44064815","44091331","27","3","0.58128","0.28053","1.0","No"
"ENSG00000128886","ELL3","15","44064798","44069741","4","1","0.50247","0.30767","1.0","No"
"ENSG00000167004","PDIA3","15","44038590","44065477","27","3","0.94057","0.17346","1.0","No"
"ENSG00000168803","ADAL","15","43622872","43646096","41","3","1.2426","0.107","1.0","No"
"ENSG00000223572","CKMT1A","15","43985084","43991420","2","1","1.0812","0.13981","1.0","No"
"ENSG00000242866","STRC","15","43891596","44010458","99","6","0.98832","0.1615","1.0","No"
"ENSG00000237289","CKMT1B","15","43885252","43897099","11","1","0.94665","0.17191","1.0","No"
"ENSG00000168781","PPIP5K1","15","43825660","43882430","26","3","0.91136","0.18105","1.0","No"
"ENSG00000166963","MAP1A","15","43803156","43823818","15","3","0.67154","0.25094","1.0","No"
"ENSG00000067369","TP53BP1","15","43699407","43802926","158","7","0.59519","0.27586","1.0","No"
"ENSG00000137822","TUBGCP4","15","43661419","43699293","44","4","0.79605","0.213","1.0","No"
"ENSG00000166762","CATSPER2","15","43920701","43960316","54","4","1.0304","0.1514","1.0","No"
"ENSG00000176454","LPCAT4","15","34651106","34659479","6","3","0.28311","0.38855","1.0","No"
"ENSG00000184507","NUTM1","15","34635516","34649938","12","5","1.8465","0.032409","1.0","No"
"ENSG00000182117","NOP10","15","34633917","34635378","3","1","0.071811","0.47138","1.0","No"
"ENSG00000100865","CINP","14","102808956","102829253","14","3","-0.11447","0.54557","1.0","No"
"ENSG00000022976","ZNF839","14","102783714","102809044","26","6","0.74054","0.22949","1.0","No"
"ENSG00000080823","MOK","14","102690837","102771537","79","4","1.1426","0.1266","1.0","No"
